true_class / predicted_class,OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,AM-SSB-WC,AM-SSB-SC,AM-DSB-WC,AM-DSB-SC,FM,GMSK,OQPSK
OOK,80.16357421875,2.9202974759615383,1.8620417668269231,1.3831505408653846,0.4854642427884615,0.16526442307692307,0.4920372596153846,0.24695763221153846,0.17559344951923078,0.59814453125,0.06197415865384615,0.390625,0.058218149038461536,0.08544921875,1.251690204326923,0.21033653846153846,0.2732496995192307,1.0451096754807692,0.5418043870192308,2.3991511418269234,0.5446213942307692,1.4085036057692308,1.006610576923077,2.2301307091346154
4ASK,9.959998497596153,52.754094050480774,20.659930889423077,1.3155423677884617,0.5314753605769231,0.15587439903846154,0.4601111778846154,0.1990685096153846,0.2018855168269231,0.6479116586538461,0.06103515625,0.3352238581730769,0.051645132211538464,0.09859525240384615,1.2347881610576923,0.2037635216346154,0.2873347355769231,2.442345252403846,1.0291466346153846,2.3888221153846154,0.5239633413461539,1.3418344350961537,0.897686298076923,2.2179236778846154
8ASK,7.996544471153847,7.893254206730769,63.39674729567307,1.3014573317307692,0.5953275240384615,0.15305739182692307,0.4676231971153846,0.2356896033653846,0.38123497596153844,0.6028395432692308,0.04413311298076923,0.33052884615384615,0.06385216346153846,0.0995342548076923,1.1934720552884617,0.17841045673076922,0.2460186298076923,5.853740985576923,1.7615685096153848,2.348445012019231,0.5521334134615385,1.3277493990384617,0.8986253004807692,2.0780123197115383
BPSK,1.6263521634615383,0.06197415865384615,0.7746769831730769,76.95406400240384,0.8319561298076924,0.2788837139423077,0.5568284254807692,0.37841796875,0.2234825721153846,1.5089768629807692,0.08357121394230768,0.8103590745192308,0.08544921875,0.15117938701923078,2.001953125,0.26949368990384615,0.4450871394230769,0.3361628605769231,0.1812274639423077,3.8527268629807696,0.8253831129807692,1.9287109375,1.744666466346154,4.088416466346153
QPSK,1.6517052283653848,0.046950120192307696,0.823505108173077,2.4676983173076925,65.1263897235577,1.2347881610576923,0.7652869591346154,1.622596153846154,0.9042593149038461,2.4498572716346154,0.27794471153846156,2.287409855769231,0.13897235576923078,0.42724609375,2.8160682091346154,0.4629281850961538,0.8807842548076924,0.5474384014423077,0.19061748798076922,3.908128004807692,0.799091045673077,2.0413912259615383,2.973820612980769,5.155123197115385
8PSK,1.6789362980769231,0.048828125,0.7943960336538461,2.461125300480769,2.775691105769231,60.761906550480774,1.2225811298076923,4.0771484375,1.0263296274038463,2.2742638221153846,0.3089317908653846,2.2432767427884617,0.1605694110576923,0.4497821514423077,2.763484074519231,0.4929762620192308,0.9108323317307692,0.33897986778846156,0.1849834735576923,3.8583608774038463,0.7803109975961539,2.0780123197115383,3.0357947716346154,5.272498497596153
16PSK,1.6789362980769231,0.03568209134615384,0.7718599759615385,2.5334284855769234,2.6789738581730766,4.941030649038462,54.04710036057693,7.219989483173077,1.067645733173077,2.238581730769231,0.3211388221153846,2.16064453125,0.15117938701923078,0.4403921274038462,2.6921198918269234,0.4666841947115385,0.9314903846153846,0.36527193509615385,0.18780048076923078,4.010479266826923,0.8263221153846154,2.0320012019230766,2.9578575721153846,5.243389423076923
32PSK,1.6517052283653848,0.04976712740384615,0.7915790264423076,2.4808443509615383,2.714655949519231,4.957932692307692,10.064227764423077,50.98970853365385,1.0272686298076923,2.360652043269231,0.27794471153846156,2.2432767427884617,0.14178936298076922,0.4385141225961538,2.686485877403846,0.4554161658653846,0.9371243990384616,0.36527193509615385,0.19249549278846154,3.9888822115384617,0.81787109375,2.027306189903846,3.0339167668269234,5.305363581730769
16APSK,1.5596829927884617,0.039438100961538464,0.8328951322115384,2.555964543269231,1.94091796875,1.4695387620192308,0.8873572716346154,1.8620417668269231,61.72532301682693,2.812312199519231,0.6028395432692308,2.7897761418269234,0.3211388221153846,0.896747295673077,2.9033954326923075,0.5352313701923077,0.9267953725961539,0.35494290865384615,0.18686147836538464,4.013296274038462,0.8413461538461539,2.01416015625,2.6893028846153846,5.238694411057692
32APSK,1.5465369591346154,0.040377103365384616,0.7727989783653846,2.4263822115384617,1.1211688701923077,0.4779522235576923,0.62255859375,0.7756159855769231,1.6751802884615383,60.896183894230774,1.9249549278846152,5.521334134615385,0.4187950721153846,1.5794020432692308,3.2480093149038463,0.5455603966346154,1.2094350961538463,0.4460261418269231,0.1812274639423077,4.008601262019231,0.8056640625,2.002892127403846,2.5794396033653846,5.173903245192308
64APSK,1.6291691706730769,0.045072115384615384,0.7587139423076923,2.440467247596154,1.3690655048076923,0.7549579326923077,0.6601186899038461,1.0141225961538463,5.039625901442308,3.940993088942308,50.88266225961539,6.682880108173077,0.7023737980769231,3.8442758413461537,3.3766526442307696,0.6169245793269231,1.0610727163461537,0.38968599759615385,0.20000751201923075,3.8724459134615383,0.7774939903846154,2.0470252403846154,2.6611328125,5.233060396634615
128APSK,1.6507662259615383,0.07418118990384615,0.7746769831730769,2.4676983173076925,1.1859600360576923,0.6216195913461539,0.6460336538461539,0.896747295673077,2.5691105769230766,5.237755408653847,23.648775540865387,36.53188852163461,0.6610576923076923,2.6827298677884617,3.4799429086538463,0.7023737980769231,1.2423001802884617,0.36714993990384615,0.1708984375,3.8686899038461537,0.7408728966346154,2.009465144230769,2.6339017427884617,5.135404146634615
16QAM,1.5465369591346154,0.05446213942307693,0.8206881009615384,2.50244140625,1.45263671875,0.7709209735576923,0.6920447716346154,1.0394756610576923,6.6058819110576925,3.2320462740384617,2.0442082331730766,3.7344125600961537,52.998234675480774,2.0207331730769234,3.3757136418269234,0.6657527043269231,1.1615459735576923,0.3502478966346154,0.17841045673076922,4.013296274038462,0.8131760817307692,1.976600060096154,2.6836688701923075,5.266864483173077
32QAM,1.5822190504807692,0.046950120192307696,0.81787109375,2.513709435096154,1.3934795673076923,0.824444110576923,0.7108248197115385,1.0544996995192308,6.839693509615384,4.208608774038462,11.501840444711538,7.037823016826923,0.78125,40.36865234375,3.3250075120192304,0.6460336538461539,1.0591947115384617,0.36527193509615385,0.17747145432692307,3.956956129807692,0.7943960336538461,1.9606370192307692,2.6761568509615383,5.357008713942308
64QAM,1.5709510216346152,0.04131610576923077,0.8094200721153846,2.4442232572115383,1.3521634615384617,0.6854717548076923,0.6253756009615385,0.8807842548076924,3.171950120192308,3.7315955528846154,12.351637620192307,12.109375,5.536358173076923,13.975172776442307,14.314152644230768,8.187161959134617,3.0498798076923075,0.341796875,0.16432542067307693,3.8912259615384617,0.8347731370192308,2.001014122596154,2.7080829326923075,5.221792367788462
128QAM,1.5427809495192308,0.051645132211538464,0.79345703125,2.428260216346154,1.4254056490384617,0.7709209735576923,0.6751427283653846,1.043231670673077,4.935396634615385,3.6470853365384617,27.69775390625,10.824819711538462,2.0967923677884617,17.731182391826923,3.8536658653846154,3.9513221153846154,1.2779822716346154,0.3746619591346154,0.18216646634615385,3.9006159855769234,0.7774939903846154,2.086463341346154,2.6273287259615383,5.304424579326923
